save model time:1911_171244 step:81000, var:0.4491491486100748 collision_cnt 131
save model time:1911_171249 step:86000, var:0.427233198057808 collision_cnt 131
save model time:1911_171253 step:91000, var:0.4063866225452039 collision_cnt 131
save model time:1911_171258 step:96000, var:0.3865572425889805 collision_cnt 131
save model time:1911_171302 step:101000, var:0.3676954247709635 collision_cnt 131
save model time:1911_171307 step:106000, var:0.349753957504439 collision_cnt 131
save model time:1911_171311 step:111000, var:0.33268793286240766 collision_cnt 131
save model time:1911_171316 step:116000, var:0.31645463417195824 collision_cnt 131
save model time:1911_171320 step:121000, var:0.3010134290933992 collision_cnt 131
save model time:1911_171325 step:126000, var:0.28632566791652947 collision_cnt 131
save model time:1911_171329 step:131000, var:0.27235458681947705 collision_cnt 131
save model time:1911_171334 step:136000, var:0.25906521584796366 collision_cnt 131
save model time:1911_171338 step:141000, var:0.24642429138466176 collision_cnt 131
save model time:1911_171343 step:146000, var:0.23440017288955545 collision_cnt 131
save model time:1911_171348 step:151000, var:0.22296276370290227 collision_cnt 131
save model time:1911_171352 step:156000, var:0.21208343571256533 collision_cnt 131
save model time:1911_171357 step:161000, var:0.20173495769715546 collision_cnt 131
save model time:1911_171401 step:166000, var:0.19189142716562432 collision_cnt 131
save model time:1911_171406 step:171000, var:0.18252820552270246 collision_cnt 132
save model time:1911_171410 step:176000, var:0.17362185639789907 collision_cnt 132
save model time:1911_171415 step:181000, var:0.1651500869836984 collision_cnt 132
save model time:1911_171419 step:186000, var:0.1570916922361232 collision_cnt 132
save model time:1911_171424 step:191000, var:0.14942650179799613 collision_cnt 132
save model time:1911_171429 step:196000, var:0.14213532951204774 collision_cnt 132
save model time:1911_171433 step:201000, var:0.1351999253974994 collision_cnt 132
save model time:1911_171438 step:206000, var:0.12860292996992018 collision_cnt 132
save model time:1911_171442 step:211000, var:0.12232783079001676 collision_cnt 132
save model time:1911_171447 step:216000, var:0.11635892113259806 collision_cnt 132
save model time:1911_171451 step:221000, var:0.11068126067226178 collision_cnt 132
save model time:1911_171456 step:226000, var:0.10528063808739813 collision_cnt 132
save model time:1911_171500 step:231000, var:0.10014353548890782 collision_cnt 132
save model time:1911_171505 step:236000, var:0.09525709458459826 collision_cnt 132
save model time:1911_171510 step:241000, var:0.09060908449456685 collision_cnt 132
save model time:1911_171514 step:246000, var:0.08618787113701235 collision_cnt 132
save model time:1911_171519 step:251000, var:0.08198238810784661 collision_cnt 132
save model time:1911_171524 step:256000, var:0.07798210898121705 collision_cnt 132
save model time:1911_171529 step:261000, var:0.07417702096160789 collision_cnt 132
save model time:1911_171533 step:266000, var:0.0705575998215706 collision_cnt 132
save model time:1911_171538 step:271000, var:0.06711478606235186 collision_cnt 132
save model time:1911_171543 step:276000, var:0.06383996223774882 collision_cnt 132
save model time:1911_171548 step:281000, var:0.06072493138443261 collision_cnt 132
save model time:1911_171553 step:286000, var:0.05776189650475085 collision_cnt 132
save model time:1911_171557 step:291000, var:0.05494344105065345 collision_cnt 132
save model time:1911_171602 step:296000, var:0.052262510359893384 collision_cnt 132
